date,care,total,cumsum
18/03/2020,Recuperado (Hospital),1,1
21/03/2020,Recuperado (Hospital),1,2
22/03/2020,Recuperado (Hospital),1,3
23/03/2020,Recuperado (Hospital),1,4
24/03/2020,Recuperado (Hospital),1,5
29/03/2020,Recuperado (Hospital),2,7
30/03/2020,Recuperado (Hospital),1,8
31/03/2020,Recuperado (Hospital),4,12
01/04/2020,Recuperado (Hospital),2,14
02/04/2020,Recuperado (Hospital),1,15
03/04/2020,Recuperado (Hospital),4,19
04/04/2020,Recuperado (Hospital),2,21
06/04/2020,Recuperado (Hospital),2,23
07/04/2020,Recuperado (Hospital),3,26
09/04/2020,Recuperado (Hospital),4,30
11/04/2020,Recuperado (Hospital),1,31
16/04/2020,Recuperado (Hospital),1,32
